site-name,site-ref,sample-ref,lab-id,bp,error,human,marine,d13C,d15N,C/N,context-ref,source,notes
bay of skaill,,,GU-7245,1410,50,yes,no,-20.5,,,56,james 2000; ashmore 2003,ashmore 2003 gives d13C as -20.5; cist is in close proximity to an unexcavated structure; extended and prone in a long cist - possibly beneath a cairn; prone inhumation
broch of burrian,,NMS X.GB 228,OxA-18353,1289,27,no,no,-22.63,,,,clark & heald 2008,ox phalange with carved symbols
broch of burrian,,NMS X.GB 227,UB-6923,1435,29,no,no,-22.0,,,,clark & heald 2008,ox phalange with pictish symbol
brough road,,BY78 SB,GU-1230,1060,110,no,no,-23.4,,,area 3: rubble / debris,morris 1989,original measurement 1060 +/- 60 BP corrected as recommended in Ashmore et al. 2000
brough road,,BY76 AN,GU-1550,1640,70,yes,no,,,,cutting 1: skeleton 1 cairn 1,morris 1989; ashmore 2003,above skeleton 2 cairn 1 (GU-1551) - CONFIRM; supine in long cist under cairn 1 (upper inhumation); cutting 1 skeleton 1; context 13; 'pre-Norse' according to barrett et al
brough road,,BY76 AS,GU-1551,1600,70,yes,no,,,,cutting 1: skeleton 2 cairn 1,morris 1989; ashmore 2003,below skeleton 1 cairn 1 (GU-1550) - CONFIRM; right side in long cist under cairn 1 (lower inhumation) - same as TO-7047; cutting 1 skeleton 2; context 18; 'pre-Norse' according to barrett et al
brough road,,BY78 CU,GU-1552,1040,60,yes,no,,,,area 1: skeleton 1 over cairn 1,morris 1989; ashmore 2003,flexed inhumation; area 1 skeleton 1; overlying cairn 1
brough road,,BY78 DT,GU-1553,1240,85,yes,no,-19.5,,,area 1: skeleton 2 cist-grave,morris 1989; ashmore 2003,inhumation with grave goods in cist set into midden; same as TO-6691; area 1 skeleton 1; using d13C = -19.5 based TO-6691 lab result
brough road,,BY78 IO,GU-1554,1705,80,yes,no,-23.1,,,area 1: skeleton 3 cairn 2,morris 1989; ashmore 2003,supine in long cist under cairn 2 - same as TO-6696; area 1 skeleton 3; layer 67; 'pre-Norse' according to barrett et al
brough road,,BY78 BJ,GU-1555,1140,65,yes,no,-23,,,area 2: skeleton 1 cist-grave,morris 1989; ashmore 2003,inhumation in cist; same as TO-7048; area 2 skeleton 1; layer 33
