site-name,lab-id,sample-ref,bp,error,human,marine,d13C,d15N,C/N,marine-fraction,cal-start-2s,cal-end-2s,segments-2s,cal-start-1s,cal-end-1s,segments-1s
bay of skaill,GU-7245,,1410,50,yes,no,-20.5,,,,563AD,754AD,555AD (92.8%) 683AD; 744AD ( 2.2%) 760AD; 766AD ( 0.5%) 771AD,600AD,658AD,600AD (68.3%) 660AD
broch of burrian,OxA-18353,NMS X.GB 228,1289,27,no,no,-22.63,,,,667AD,798AD,662AD (95.4%) 774AD,683AD,762AD,674AD (32.4%) 705AD; 738AD (35.9%) 771AD
broch of burrian,UB-6923,NMS X.GB 227,1435,29,no,no,-22.0,,,,578AD,653AD,580AD (95.4%) 655AD,602AD,642AD,604AD (68.3%) 645AD
brough road,GU-1230,BY78 SB,1060,110,no,no,-23.4,,,,710AD,1204AD,704AD ( 2.4%) 738AD; 771AD (93.1%) 1216AD,842AD,1112AD,778AD ( 1.3%) 784AD; 878AD (51.6%) 1050AD; 1080AD (15.4%) 1153AD
brough road,GU-1550,BY76 AN,1640,70,yes,no,,,,,258AD,570AD,250AD ( 8.7%) 295AD; 310AD (86.8%) 572AD,342AD,520AD,364AD (68.3%) 538AD
brough road,GU-1551,BY76 AS,1600,70,yes,no,,,,,270AD,599AD,258AD ( 2.6%) 280AD; 332AD (92.8%) 603AD,398AD,543AD,410AD (68.3%) 553AD
brough road,GU-1552,BY78 CU,1040,60,yes,no,,,,,852AD,1152AD,882AD (95.4%) 1160AD,921AD,1098AD,895AD (11.6%) 925AD; 949AD (51.0%) 1044AD; 1086AD ( 1.6%) 1092AD; 1106AD ( 4.1%) 1119AD
brough road,GU-1553,BY78 DT,1240,85,yes,no,-19.5,,,0.176,676AD,1050AD,666AD (95.4%) 1028AD,746AD,965AD,774AD (68.3%) 980AD
brough road,GU-1554,BY78 IO,1705,80,yes,no,-23.1,,,,164AD,538AD,170AD ( 0.7%) 184AD; 203AD (94.8%) 550AD,263AD,453AD,246AD (68.3%) 422AD
brough road,GU-1555,BY78 BJ,1140,65,yes,no,-23,,,,710AD,1016AD,706AD ( 3.2%) 736AD; 771AD (92.3%) 1024AD,804AD,970AD,777AD ( 3.7%) 786AD; 830AD ( 9.2%) 854AD; 873AD (55.4%) 990AD
brough road,GU-1667,BY78 GE,975,110,no,no,-23.3,,,,798AD,1254AD,776AD ( 0.6%) 786AD; 830AD ( 1.2%) 852AD; 874AD (93.6%) 1272AD,950AD,1177AD,990AD (68.3%) 1212AD
brough road,GU-1955,BY78 GF,1230,50,no,no,-20.3,,,,677AD,942AD,667AD (93.7%) 894AD; 928AD ( 1.8%) 944AD,712AD,866AD,703AD (18.2%) 740AD; 774AD ( 1.1%) 776AD; 784AD (49.0%) 878AD
brough road,GU-1956,BY78 DS,1250,55,no,no,-19.7,,,,668AD,932AD,660AD (95.4%) 890AD,700AD,854AD,678AD (37.0%) 750AD; 758AD ( 7.5%) 775AD; 787AD (19.9%) 828AD; 860AD ( 3.9%) 870AD
brough road,GU-1957,BY78 DH,1105,55,no,no,-20.3,,,,780AD,1026AD,772AD ( 3.7%) 791AD; 804AD ( 0.3%) 808AD; 820AD (91.4%) 1030AD,869AD,989AD,886AD (66.1%) 994AD; 1008AD ( 2.2%) 1014AD
brough road,GU-1958,BY78 SM,1250,110,no,no,-23.8,,,,606AD,1004AD,603AD (95.1%) 995AD; 1008AD ( 0.3%) 1014AD,687AD,914AD,666AD (68.3%) 884AD
brough road,GU-1959,BY78 SZ,1240,110,no,no,-23.8,,,,612AD,1010AD,606AD ( 1.4%) 626AD; 636AD (93.0%) 998AD; 1003AD ( 1.1%) 1018AD,692AD,924AD,670AD (68.3%) 886AD
brough road,GU-1979,BY78 DJ,1215,80,no,no,-22.1,,,,668AD,986AD,664AD (95.4%) 980AD,716AD,920AD,682AD (20.0%) 744AD; 760AD (48.2%) 892AD
brough road,GU-1980,BY78 FE,1095,55,no,no,-22.6,,,,782AD,1038AD,772AD ( 3.0%) 791AD; 820AD (92.4%) 1034AD,886AD,997AD,890AD (64.2%) 995AD; 1006AD ( 4.1%) 1015AD
brough road,TO-6691,,1120,40,yes,no,-19.5,,,0.176,848AD,1143AD,881AD (95.4%) 1154AD,916AD,1052AD,895AD (13.7%) 928AD; 945AD (54.6%) 1039AD
brough road,TO-6696,,1430,40,yes,no,-20.9,,,,566AD,660AD,570AD (95.4%) 661AD,596AD,645AD,602AD (68.3%) 650AD
brough road,TO-7047,,1520,50,yes,no,-21.2,,,,432AD,637AD,431AD (95.4%) 640AD,468AD,596AD,440AD ( 8.6%) 460AD; 478AD ( 8.4%) 496AD; 534AD (51.2%) 604AD
brough road,TO-7048,,1320,50,yes,no,-20.1,,,,638AD,842AD,609AD ( 0.8%) 619AD; 639AD (89.2%) 778AD; 787AD ( 5.4%) 828AD,667AD,766AD,655AD (39.6%) 706AD; 737AD (28.6%) 772AD
bu,GU-1152,30,2440,110,,no,-21.1,,,,794BC,251BC,808BC (93.3%) 356BC; 280BC ( 2.2%) 232BC,723BC,430BC,751BC (15.9%) 684BC; 668BC ( 7.8%) 634BC; 620BC ( 1.3%) 614BC; 590BC (43.2%) 408BC
bu,GU-1153,31,2545,110,,no,-21.4,,,,910BC,412BC,898BC (95.4%) 402BC,788BC,502BC,807BC (67.1%) 539BC; 527BC ( 1.2%) 520BC
bu,GU-1154,32,2460,112,,no,-21.5,,,,808BC,270BC,821BC (94.4%) 358BC; 277BC ( 0.6%) 259BC; 245BC ( 0.4%) 234BC,732BC,442BC,754BC (17.9%) 681BC; 670BC (14.5%) 608BC; 594BC (31.7%) 461BC; 438BC ( 4.2%) 420BC
bu,GU-1228,33,2470,133,,no,-25,,,,882BC,238BC,898BC ( 1.4%) 862BC; 848BC (90.6%) 351BC; 292BC ( 3.5%) 208BC,748BC,432BC,766BC (65.5%) 466BC; 436BC ( 2.8%) 422BC
bu,SUERC-68733,OM 1982.330.321,2260,29,yes,no,,,,,390BC,210BC,394BC (36.7%) 348BC; 311BC (58.7%) 206BC,375BC,237BC,389BC (31.0%) 355BC; 280BC (37.3%) 232BC
bu,SUERC-69075,OM 1982.330.330,2271,33,yes,no,,,,,394BC,210BC,398BC (42.1%) 349BC; 309BC (53.4%) 207BC,380BC,239BC,394BC (36.6%) 356BC; 280BC (31.7%) 232BC
buckquoy,TO-6693,,1580,40,yes,no,-20.5,,,,418AD,574AD,415AD (95.4%) 571AD,442AD,539AD,434AD (57.7%) 520AD; 526AD (10.6%) 542AD
buckquoy,TO-6695,,1740,40,yes,no,-20.2,,,,238AD,406AD,240AD (95.4%) 406AD,264AD,374AD,250AD (28.9%) 295AD; 310AD (39.4%) 375AD
hermisgarth,GU-4232,,1480,80,yes,no,,,,,420AD,699AD,414AD (95.4%) 675AD,478AD,634AD,442AD ( 1.6%) 448AD; 480AD ( 4.3%) 494AD; 536AD (62.3%) 654AD
hermisgarth,GU-4233,,1580,100,yes,no,,,,,258AD,640AD,252AD ( 4.7%) 290AD; 319AD (90.8%) 650AD,374AD,573AD,405AD (68.3%) 596AD
howe,GU-1749,SF 2812,1565,45,no,no,,,,,420AD,593AD,418AD (95.4%) 590AD,446AD,554AD,434AD (21.6%) 467AD; 472AD (29.1%) 518AD; 528AD (17.5%) 554AD
howe,GU-1750,SF 4812; SF 4813,2070,50,no,no,,,,,326BC,58AD,341BC ( 2.0%) 323BC; 200BC (93.5%) 62AD,152BC,7BC,162BC (61.1%) 36BC; 14BC ( 7.2%) 4AD
howe,GU-1756,SF 870,2200,70,no,no,,,,,388BC,58BC,394BC (92.6%) 92BC; 76BC ( 2.9%) 54BC,344BC,150BC,364BC (68.3%) 176BC
howe,GU-1757,SF 313; SF 940,1450,50,no,no,,,,,488AD,659AD,537AD (95.4%) 668AD,573AD,640AD,582AD (68.3%) 648AD
howe,GU-1758,SF 7341,2255,95,no,no,,,,,694BC,60BC,733BC ( 1.5%) 696BC; 663BC ( 0.6%) 650BC; 546BC (93.4%) 46BC,410BC,182BC,402BC (68.3%) 176BC
howe,GU-1759,SF 7054,1940,60,no,no,,,,,58BC,225AD,46BC (95.4%) 230AD,12AD,174AD,14AD (63.6%) 164AD; 188AD ( 4.6%) 202AD
howe,GU-1760,SF 7155,2405,75,no,no,,,,,759BC,308BC,773BC (95.4%) 382BC,702BC,428BC,745BC (14.1%) 690BC; 664BC ( 5.1%) 645BC; 550BC (49.0%) 397BC
howe,GU-1786,SF 2207,1975,55,no,no,,,,,106BC,198AD,96BC ( 2.6%) 71BC; 57BC (92.9%) 210AD,26BC,116AD,39BC (12.1%) 11BC; 2AD (56.1%) 120AD
howe,GU-1787,SF 6984,1670,55,no,no,,,,,256AD,535AD,250AD (13.7%) 295AD; 310AD (81.7%) 540AD,303AD,478AD,258AD ( 9.5%) 280AD; 330AD (53.2%) 434AD; 466AD ( 2.3%) 474AD; 518AD ( 3.3%) 528AD
howe,GU-1788,SF 2686,1935,55,no,no,,,,,39BC,222AD,42BC (95.4%) 222AD,24AD,175AD,22AD (63.6%) 163AD; 188AD ( 4.7%) 201AD
howe,GU-1789,SF 7126,2405,70,no,no,,,,,756BC,372BC,765BC (95.4%) 388BC,701BC,430BC,742BC (13.1%) 692BC; 664BC ( 4.7%) 647BC; 548BC (50.6%) 398BC
